%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.15,59.39538574,2.113325119,6.51830503,2.0153687,341.3902178,1.71124649,293.9550781,123.6728516,3.76597408059648,37.70270249120778,839.7597578415903,2,9.6,12.4,61.7,WE10
0.13,59.69960022,2.184656143,6.503554857,2.02785635,338.5012183,1.715166092,304.9291992,123.5977783,3.860684674416765,37.52526571766414,840.7069523459851,2,8.7,20.4,61.5,WE10
0.13,60.22306824,2.106603622,6.498150699,2.018188477,340.0159086,1.679254532,320.4443359,123.4414063,3.559686606622158,41.81318358719283,756.8018106926339,2,9.8,14.8,61.5,WE10
0.15,60.22306824,2.106603622,6.498150699,2.018188477,340.0159086,1.679254532,320.4443359,123.4414063,4.34313595140986,39.76507994828005,879.0561224829078,2,9.2,12.8,61.8,WE10
0.15,60.22306824,2.106603622,6.498150699,2.018188477,340.0159086,1.679254532,320.4443359,123.4414063,4.081853732970472,39.24246624196304,802.6873506597875,2,9.4,17.2,61.8,WE10
0.13,59.94869995,2.115570068,6.507051665,2.025238037,338.9462667,1.667152405,326.574707,123.4840698,4.446471806210271,39.54904300095318,746.3433645320536,2,9.4,13.2,61.5,WE10
0.15,59.94869995,2.115570068,6.507051665,2.025238037,338.9462667,1.667152405,326.574707,123.4840698,3.2925031322585587,37.605519083753975,848.2779451083985,2,9.7,14.8,61.9,WE10
0.15,59.94869995,2.115570068,6.507051665,2.025238037,338.9462667,1.667152405,326.574707,123.4840698,4.165507956803327,36.74039551692604,670.7496141990891,2,9.4,12.0,61.9,WE10
0.15,60.09407043,2.125143051,6.500058049,2.057061672,338.7463764,1.679588318,328.7695313,123.5192261,4.271752097728035,38.46378437791698,799.7975995124357,2,9.7,14.0,61.9,WE10
0.14,60.09407043,2.125143051,6.500058049,2.057061672,338.7463764,1.679588318,328.7695313,123.5192261,3.779552784947748,38.17194646025401,825.5503623213211,4,9.5,17.2,61.0,WE20
0.15,60.09407043,2.125143051,6.500058049,2.057061672,338.7463764,1.679588318,328.7695313,123.5192261,3.4666452092608755,37.442374783867535,813.3234206500147,2,9.8,11.2,61.9,WE10
0.14,60.17396545,2.085580826,6.538745464,2.051825047,338.365415,1.699357986,300.9179688,123.5553589,3.899411626059037,38.36326219469584,855.7921727471283,4,9.3,14.4,61.0,WE20
0.15,60.1945343,2.125782013,6.551937969,2.063910007,339.2804344,1.714805603,333.6132813,123.5836792,4.45,36.65026284528152,797.1543933332115,2,9.5,15.2,61.9,WE10
0.15,60.1945343,2.125782013,6.551937969,2.063910007,339.2804344,1.714805603,333.6132813,123.5836792,4.010609753010589,36.19516467936833,850.1027141186815,2,9.7,13.2,61.9,WE10
0.15,60.32797241,2.138980865,6.544435725,2.063708544,338.7153502,1.683616638,243.7768555,123.6221924,4.401024094076715,39.57106308252257,877.416869712619,2,9.2,10.8,61.5,WE10
0.15,60.32797241,2.138980865,6.544435725,2.063708544,338.7153502,1.683616638,243.7768555,123.6221924,4.163979529686153,39.79294621022374,750.4348953511512,2,9.3,12.8,61.5,WE10
0.15,60.15231323,2.097553253,6.463468718,2.054241896,335.8329629,1.634126663,309.6972656,122.3364258,4.130590423461889,35.85451809856232,880.0316820392674,2,9.8,13.2,61.9,WE10
0.15,60.15231323,2.097553253,6.463468718,2.054241896,335.8329629,1.634126663,309.6972656,122.3364258,3.288769897703153,37.551004334974586,909.692718525627,2,9.9,12.4,61.9,WE10
0.14,60.03604126,2.134080887,6.518654711,2.049810886,339.9589424,1.701709747,296.5283203,123.6378174,3.897351080545688,39.13815819073796,844.1235449950478,2,9.9,10.8,61.8,WE10
0.14,59.88313293,2.117145538,6.597301109,2.062298536,338.5968402,1.676124573,361.1621094,123.3294067,3.965336129895795,36.42360030868905,770.9778047604271,2,9.5,14.4,61.8,WE10
0.14,60.06388855,2.121181488,6.53470824,2.064715624,337.5322846,1.703332901,345.0415039,123.2665405,4.45,39.032443333705295,817.2468329128038,2,9.6,13.6,61.8,WE10
0.14,60.46659851,2.137821198,6.531974372,2.065722704,337.8262708,1.690565109,307.0483398,123.4874268,4.093740003432114,37.01805364083051,886.0876124676553,2,10.1,12.7,62.0,WE10
